Artist,Song,SongID,Popularity,Lyrics,href,lyricurl
Lewis Capaldi,Forget Me,5uSFGgIfHMT3osrAd9n9ym,86,"Two years and still, you're not goneGuess I'm still holding onDrag my name through the dirtSomehow it doesn't hurt thoughWell, I'll take all the vitriol'Cause I'm not readyTo find out you know how to forget meI'd rather hear how much you regret meAnd pray to God that you never met meThan forget me",https://api.spotify.com/v1/tracks/5uSFGgIfHMT3osrAd9n9ym,https://genius.com/Lewis-capaldi-forget-me-lyrics
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF,88,,https://api.spotify.com/v1/tracks/0hquQWY3xvYqN4qtiquniF,https://genius.com/Doja-cat-vegas-from-the-original-motion-picture-soundtrack-elvis-lyrics
Tiësto,The Motto,18asYwWugKjjsihZ0YvRxO,86,,https://api.spotify.com/v1/tracks/18asYwWugKjjsihZ0YvRxO,https://genius.com/Genius-november-2021-singles-release-calendar-annotated
Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],4i5inRVohwnVShWLugsbCA,63,"Yeah, yeah, twoDrinking dope turned me to a superhero, yeah, yeahHit that pill, turned me to a superhero, yeah, yeah (Super)Boominati(If Young Metro don't trust you, I'm gon' shoot you)grippin' that pole againI'm on that oil again, yeah, yeahCandy in the cupShoutout to Dallas, my bitch is a starPiss on your casket, shoot at your broadDo you somethin' nasty, roll you in a 'garI get you a brand new Rollie tomorrowI put a brand new Rollie on your armAin't moving slow but I'm still on oil (Skrrt)Tennis bracelets and they came with the frost (Frost)Cuban links all the way up to your jaw (All the way up)Told you from the begin, upper echelonmoney multipleBread by the loaf, turbo the motorTic-Tac-Toe, kill another vultureSelling the bowls, bitch do yogaI deserve awards, serving these bouldersFill up the garage, bitch, I'm a mogulsmoking on hazeCandy in the cup,Shoutout to Dallas, my bitch is a starDo you somethin' nasty, roll you in a 'garTennis bracelets and they came with the frost (Frost)Dark Knight feeling, die and be a heroOr live long enough to see yourself become a villainSoon as you up, these niggas wanna bring you downI ain't got a cape so I can't save you nowThey don't wanna see you winnin' (No, no, no, no)Who's the villain? Who's the villain?Live long enough to see yourself become a villain",https://api.spotify.com/v1/tracks/4i5inRVohwnVShWLugsbCA,https://genius.com/Metro-boomin-future-and-chris-brown-superhero-heroes-and-villains-lyrics
Yung Gravy,Betty (Get Money),4cacyP5c3PMlfnyjpg13xW,81,"Rick AstleyNever gonna give you upNever gonna let you downNever gonna run around and desert youblow her back outShawty Filipino and she call me Manny PacquiaoAlley Oop without the hoop, they call me Jerry Stackhouse'Fore I get the dough, I got the morning routineWake up bright and early to some brand new creamFloss three times, baby, I'm so cleanGravy got cheese, now, that's poutineGravy coming hot like I'm hoppin' off the griddlеAll the mamas love me, now I think I'm peanut brittleFlex the rainbow, bag it like some SkittlesStop it (No, no)I'm gettin' money, Gravy CrockettNever take an L no moreNever take a damn thing slowAll I know is chase this dough and get money (Get the money, get the money)Never gonna take no lossNever gonna lose my sauceAll I know is chase this (Woah), and get money (Gettin' money, gettin' money, gettin' money)Probably into the early morningStill gettin' dividends from a past lifeI get your daddy's net worth on a bad nightYeah, I'm rockin' Rick, clappin' Astleys like the 80sPull up with a Zelda and a Peach and a DaisyI be dirty dancin', now they yellin' ""Gravy Swayze""How come you ain't got no missus?Never take an L no moreNever take a damn thing slowAll I know is chase this dough and get money (Get the money, get the money)Never gonna take no lossNever gonna lose my sauceAll I know is chase this (Woah), and get money (Gettin' money, gettin' money, gettin' money)",https://api.spotify.com/v1/tracks/4cacyP5c3PMlfnyjpg13xW,https://genius.com/Yung-gravy-betty-get-money-lyrics
Zach Zoya,Start Over,17xfpZekr8Gg79yvqhTNC4,59,,https://api.spotify.com/v1/tracks/17xfpZekr8Gg79yvqhTNC4,https://genius.com/Genius-november-2022-singles-release-calendar-annotated
Jax Jones,Where Did You Go? (feat. MNEK),3sa06xVNmLLYIxdNNmVQN8,82,,https://api.spotify.com/v1/tracks/3sa06xVNmLLYIxdNNmVQN8,https://genius.com/Genius-february-2022-singles-release-calendar-annotated
Glass Animals,Heat Waves,02MWAaffLxlfxAUY7c5dvx,89,"Road shimmer wigglin' the visionHeat, heat waves, I'm swimmin' in a mirrorRoad shimmer wigglin' the visionHeat, heat waves, I'm swimmin' in a—Late nights in the middle of JuneHeat waves been fakin' me outCan't make you happier nowLate nights in the middle of JuneHeat waves been fakin' me outUsually, I put somethin' on TVSo we never think about you and meBut today, I see our reflections clearlyIn Hollywood, layin' on the screenFake water all across the roadIt's gone now, the night has come, butLate nights in the middle of JuneHeat waves been fakin' me outYou can't fight it, you can't breatheYou look so broken when you cryOne more and then I say goodbyeLate nights in the middle of JuneHeat waves been fakin' me outLate nights in the middle of JuneHeat waves been fakin' me outLate nights in the middle of JuneHeat waves been fakin' me outLate nights in the middle of JuneHeat waves been fakin' me outRoad shimmer wigglin' the visionHeat, heat waves, I'm swimmin' in a mirrorRoad shimmer wigglin' the visionHeat, heat waves, I'm swimmin' in a mirror",https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://genius.com/Glass-animals-heat-waves-lyrics
Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,94,"Come on, Harry, we wanna say goodnight to youNothin' to sayYou know it's not the same as it wasYou know it's not the same as it was""Harry, you're no good aloneWhy are you sitting at home on the floor?What kind of pills are you on?""Your daddy lives by himselfYou know it's not the same as it wasYou know it's not the same as it wasI don't wanna talk about the way that it wasYou know it's not the same as it was",https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://genius.com/Harry-styles-as-it-was-lyrics
Alok,Deep Down (feat. Never Dull),7MIhUdNJtaOnDmC5nBC1fb,83,These sounds fall into my mindThese sounds fall into my mindThese sounds fall into my mindThese sounds fall into my mindThese sounds fall into my mindThese sounds fall into my mind,https://api.spotify.com/v1/tracks/7MIhUdNJtaOnDmC5nBC1fb,https://genius.com/Alok-ella-eyre-and-kenny-dope-deep-down-lyrics
